DATE,gdp,consumption,investment,hours,wages,inflation,interest_rate
1993-05-01,,,,,,,3.0
1993-06-01,,,,,,,3.04
1993-07-01,10688.606,6887.329,1358.287,80.604,78.466,64.387,3.06
1993-08-01,,,,,,,3.03
1993-09-01,,,,,,,3.09
1993-10-01,10833.987,6947.788,1429.661,81.375,78.498,64.738,2.99
1993-11-01,,,,,,,3.02
1993-12-01,,,,,,,2.96
1994-01-01,10939.116,7027.255,1484.116,81.888,77.816,65.048,3.05
1994-02-01,,,,,,,3.25
1994-03-01,,,,,,,3.34
1994-04-01,11087.361,7081.931,1557.107,83.209,78.055,65.362,3.56
1994-05-01,,,,,,,4.01
1994-06-01,,,,,,,4.25
1994-07-01,11152.176,7135.93,1531.67,84.192,77.437,65.737,4.26
1994-08-01,,,,,,,4.47
1994-09-01,,,,,,,4.73
1994-10-01,11279.932,7213.079,1594.684,84.537,77.686,66.093,4.76
1994-11-01,,,,,,,5.29
1994-12-01,,,,,,,5.45
1995-01-01,11319.951,7231.032,1611.428,84.951,77.665,66.452,5.53
1995-02-01,,,,,,,5.92
1995-03-01,,,,,,,5.98
1995-04-01,11353.721,7294.424,1577.96,84.826,77.718,66.771,6.05
1995-05-01,,,,,,,6.01
1995-06-01,,,,,,,6.0
1995-07-01,11450.31,7360.529,1568.555,85.801,77.791,67.1,5.85
1995-08-01,,,,,,,5.74
1995-09-01,,,,,,,5.8
1995-10-01,11528.067,7411.873,1607.513,86.018,78.032,67.423,5.76
1995-11-01,,,,,,,5.8
1995-12-01,,,,,,,5.6
1996-01-01,11614.418,7480.231,1633.332,86.19,78.276,67.747,5.56
1996-02-01,,,,,,,5.22
1996-03-01,,,,,,,5.31
1996-04-01,11808.14,7560.702,1711.813,86.993,78.337,68.028,5.22
1996-05-01,,,,,,,5.24
1996-06-01,,,,,,,5.27
1996-07-01,11914.063,7606.475,1789.565,87.716,78.531,68.251,5.4
1996-08-01,,,,,,,5.22
1996-09-01,,,,,,,5.3
1996-10-01,12037.775,7667.062,1787.19,88.705,78.373,68.615,5.24
1996-11-01,,,,,,,5.31
1996-12-01,,,,,,,5.29
1997-01-01,12115.472,7747.88,1823.255,89.471,78.818,69.025,5.25
1997-02-01,,,,,,,5.19
1997-03-01,,,,,,,5.39
1997-04-01,12317.221,7782.76,1935.157,89.905,79.346,69.162,5.51
1997-05-01,,,,,,,5.5
1997-06-01,,,,,,,5.56
1997-07-01,12471.01,7915.359,1962.053,90.449,79.782,69.464,5.52
1997-08-01,,,,,,,5.54
1997-09-01,,,,,,,5.54
1997-10-01,12577.495,8009.964,1990.86,90.874,80.83,69.695,5.5
1997-11-01,,,,,,,5.52
1997-12-01,,,,,,,5.5
1998-01-01,12703.742,8090.987,2078.205,91.431,82.068,69.794,5.56
1998-02-01,,,,,,,5.51
1998-03-01,,,,,,,5.49
1998-04-01,12821.339,8233.463,2065.336,91.913,82.864,69.959,5.45
1998-05-01,,,,,,,5.49
1998-06-01,,,,,,,5.56
1998-07-01,12982.752,8340.831,2118.989,92.041,83.836,70.255,5.54
1998-08-01,,,,,,,5.55
1998-09-01,,,,,,,5.51
1998-10-01,13191.67,8461.33,2183.382,93.182,83.948,70.453,5.07
1998-11-01,,,,,,,4.83
1998-12-01,,,,,,,4.68
1999-01-01,13315.597,8548.235,2243.548,93.044,85.137,70.682,4.63
1999-02-01,,,,,,,4.76
1999-03-01,,,,,,,4.81
1999-04-01,13426.748,8679.143,2244.682,93.554,84.869,70.949,4.74
1999-05-01,,,,,,,4.74
1999-06-01,,,,,,,4.76
1999-07-01,13604.771,8776.715,2306.47,94.157,84.947,71.2,4.99
1999-08-01,,,,,,,5.07
1999-09-01,,,,,,,5.22
1999-10-01,13827.98,8905.093,2367.988,94.549,86.016,71.595,5.2
1999-11-01,,,,,,,5.42
1999-12-01,,,,,,,5.3
2000-01-01,13878.147,9039.743,2351.223,94.991,88.147,72.071,5.45
2000-02-01,,,,,,,5.73
2000-03-01,,,,,,,5.85
2000-04-01,14130.908,9124.152,2490.501,95.245,87.699,72.52,6.02
2000-05-01,,,,,,,6.27
2000-06-01,,,,,,,6.53
2000-07-01,14145.312,9211.569,2466.375,95.238,88.58,72.944,6.54
2000-08-01,,,,,,,6.5
2000-09-01,,,,,,,6.52
2000-10-01,14229.765,9292.05,2471.534,94.876,88.473,73.337,6.51
2000-11-01,,,,,,,6.51
2000-12-01,,,,,,,6.4
2001-01-01,14183.12,9325.751,2358.969,94.851,89.579,73.822,5.98
2001-02-01,,,,,,,5.49
2001-03-01,,,,,,,5.31
2001-04-01,14271.694,9344.486,2362.652,93.923,89.315,74.266,4.8
2001-05-01,,,,,,,4.21
2001-06-01,,,,,,,3.97
2001-07-01,14214.516,9377.003,2311.409,92.799,89.16,74.558,3.77
2001-08-01,,,,,,,3.65
2001-09-01,,,,,,,3.07
2001-10-01,14253.574,9528.302,2196.554,91.734,90.091,74.792,2.49
2001-11-01,,,,,,,2.09
2001-12-01,,,,,,,1.82
2002-01-01,14372.785,9549.516,2262.071,90.989,90.167,75.027,1.73
2002-02-01,,,,,,,1.74
2002-03-01,,,,,,,1.73
2002-04-01,14460.848,9597.82,2298.939,91.177,90.268,75.289,1.75
2002-05-01,,,,,,,1.75
2002-06-01,,,,,,,1.75
2002-07-01,14519.633,9664.988,2295.983,90.85,90.247,75.65,1.73
2002-08-01,,,,,,,1.74
2002-09-01,,,,,,,1.75
2002-10-01,14537.58,9718.745,2293.746,90.989,89.928,76.089,1.75
2002-11-01,,,,,,,1.34
2002-12-01,,,,,,,1.24
2003-01-01,14614.141,9766.616,2312.465,90.53,89.545,76.461,1.24
2003-02-01,,,,,,,1.26
2003-03-01,,,,,,,1.25
2003-04-01,14743.567,9878.442,2327.492,90.24,91.26,76.73,1.26
2003-05-01,,,,,,,1.26
2003-06-01,,,,,,,1.22
2003-07-01,14988.782,10018.122,2411.638,90.374,91.949,77.169,1.01
2003-08-01,,,,,,,1.03
2003-09-01,,,,,,,1.01
2003-10-01,15162.76,10087.092,2493.928,90.803,92.884,77.639,1.01
2003-11-01,,,,,,,1.0
2003-12-01,,,,,,,0.98
2004-01-01,15248.68,10181.141,2498.14,91.202,91.905,78.193,1.0
2004-02-01,,,,,,,1.01
2004-03-01,,,,,,,1.0
2004-04-01,15366.85,10236.694,2597.507,91.295,92.95,78.824,1.0
2004-05-01,,,,,,,1.0
2004-06-01,,,,,,,1.03
2004-07-01,15512.619,10356.936,2638.672,91.811,94.078,79.324,1.26
2004-08-01,,,,,,,1.43
2004-09-01,,,,,,,1.61
2004-10-01,15670.88,10474.084,2693.575,92.332,93.419,79.939,1.76
2004-11-01,,,,,,,1.93
2004-12-01,,,,,,,2.16
2005-01-01,15844.727,10540.638,2769.261,92.586,93.528,80.578,2.28
2005-02-01,,,,,,,2.5
2005-03-01,,,,,,,2.63
2005-04-01,15922.782,10657.449,2733.225,93.058,93.51,81.158,2.79
2005-05-01,,,,,,,3.0
2005-06-01,,,,,,,3.04
2005-07-01,16047.587,10745.873,2769.106,93.296,93.33,81.898,3.26
2005-08-01,,,,,,,3.5
2005-09-01,,,,,,,3.62
2005-10-01,16136.734,10765.68,2857.35,93.9,93.006,82.571,3.78
2005-11-01,,,,,,,4.0
2005-12-01,,,,,,,4.16
2006-01-01,16353.835,10883.075,2899.229,94.913,94.27,83.156,4.29
2006-02-01,,,,,,,4.49
2006-03-01,,,,,,,4.59
2006-04-01,16396.151,10939.498,2882.564,95.129,93.571,83.882,4.79
2006-05-01,,,,,,,4.94
2006-06-01,,,,,,,4.99
2006-07-01,16420.738,11009.748,2871.589,95.492,92.96,84.468,5.24
2006-08-01,,,,,,,5.25
2006-09-01,,,,,,,5.25
2006-10-01,16561.866,11114.771,2818.228,95.942,94.816,84.77,5.25
2006-11-01,,,,,,,5.25
2006-12-01,,,,,,,5.24
2007-01-01,16611.69,11183.323,2800.037,95.893,96.048,85.576,5.25
2007-02-01,,,,,,,5.26
2007-03-01,,,,,,,5.26
2007-04-01,16713.314,11212.669,2827.01,96.309,94.916,86.171,5.25
2007-05-01,,,,,,,5.25
2007-06-01,,,,,,,5.25
2007-07-01,16809.587,11287.468,2794.526,96.055,94.734,86.642,5.26
2007-08-01,,,,,,,5.02
2007-09-01,,,,,,,4.94
2007-10-01,16915.191,11331.949,2762.518,95.793,94.727,86.993,4.76
2007-11-01,,,,,,,4.49
2007-12-01,,,,,,,4.24
2008-01-01,16843.003,11316.411,2686.998,95.467,94.592,87.315,3.94
2008-02-01,,,,,,,2.98
2008-03-01,,,,,,,2.61
2008-04-01,16943.291,11347.595,2641.85,94.916,93.533,87.738,2.28
2008-05-01,,,,,,,1.98
2008-06-01,,,,,,,2.0
2008-07-01,16854.295,11260.136,2589.254,93.872,93.07,88.399,2.01
2008-08-01,,,,,,,2.0
2008-09-01,,,,,,,1.81
2008-10-01,16485.35,11158.801,2338.938,91.474,96.487,88.613,0.97
2008-11-01,,,,,,,0.39
2008-12-01,,,,,,,0.16
2009-01-01,16298.262,11130.464,2073.135,89.014,94.545,88.543,0.15
2009-02-01,,,,,,,0.22
2009-03-01,,,,,,,0.18
2009-04-01,16269.145,11075.748,1952.641,86.833,96.532,88.396,0.15
2009-05-01,,,,,,,0.18
2009-06-01,,,,,,,0.21
2009-07-01,16326.281,11150.23,1946.867,85.747,96.48,88.501,0.16
2009-08-01,,,,,,,0.16
2009-09-01,,,,,,,0.15
2009-10-01,16502.754,11137.946,2128.516,85.743,96.17,88.781,0.12
2009-11-01,,,,,,,0.12
2009-12-01,,,,,,,0.12
2010-01-01,16582.71,11202.495,2174.335,86.108,95.088,89.036,0.11
2010-02-01,,,,,,,0.13
2010-03-01,,,,,,,0.16
2010-04-01,16743.162,11302.955,2288.469,86.762,96.265,89.471,0.2
2010-05-01,,,,,,,0.2
2010-06-01,,,,,,,0.18
2010-07-01,16872.266,11383.596,2390.072,87.168,96.557,89.743,0.18
2010-08-01,,,,,,,0.19
2010-09-01,,,,,,,0.19
2010-10-01,16960.864,11453.368,2383.297,87.587,96.098,90.264,0.19
2010-11-01,,,,,,,0.19
2010-12-01,,,,,,,0.18
2011-01-01,16920.632,11497.12,2338.901,87.739,96.882,90.726,0.17
2011-02-01,,,,,,,0.16
2011-03-01,,,,,,,0.14
2011-04-01,17035.114,11508.95,2434.538,88.621,94.949,91.326,0.1
2011-05-01,,,,,,,0.09
2011-06-01,,,,,,,0.09
2011-07-01,17031.313,11543.975,2445.296,88.851,95.088,91.876,0.07
2011-08-01,,,,,,,0.1
2011-09-01,,,,,,,0.08
2011-10-01,17222.583,11563.89,2633.829,89.687,93.257,91.985,0.07
2011-11-01,,,,,,,0.08
2011-12-01,,,,,,,0.07
2012-01-01,17367.01,11647.297,2692.179,90.354,94.939,92.525,0.08
2012-02-01,,,,,,,0.1
2012-03-01,,,,,,,0.13
2012-04-01,17444.525,11667.753,2752.614,90.471,95.228,92.907,0.14
2012-05-01,,,,,,,0.16
2012-06-01,,,,,,,0.16
2012-07-01,17469.65,11691.414,2759.86,90.992,94.783,93.417,0.16
2012-08-01,,,,,,,0.13
2012-09-01,,,,,,,0.14
2012-10-01,17489.852,11738.007,2736.423,91.519,96.559,93.885,0.16
2012-11-01,,,,,,,0.16
2012-12-01,,,,,,,0.16
2013-01-01,17662.4,11814.326,2845.38,92.128,94.71,94.258,0.14
2013-02-01,,,,,,,0.15
2013-03-01,,,,,,,0.14
2013-04-01,17709.671,11848.089,2882.489,92.504,95.447,94.461,0.15
2013-05-01,,,,,,,0.11
2013-06-01,,,,,,,0.09
2013-07-01,17860.45,11896.258,2998.991,92.876,94.706,94.924,0.09
2013-08-01,,,,,,,0.08
2013-09-01,,,,,,,0.08
2013-10-01,18016.147,12001.027,3027.805,93.138,95.111,95.426,0.09
2013-11-01,,,,,,,0.08
2013-12-01,,,,,,,0.09
2014-01-01,17953.974,12044.203,2998.148,93.496,96.315,95.788,0.07
2014-02-01,,,,,,,0.07
2014-03-01,,,,,,,0.08
2014-04-01,18185.911,12159.899,3121.321,94.486,95.266,96.33,0.09
2014-05-01,,,,,,,0.09
2014-06-01,,,,,,,0.1
2014-07-01,18406.941,12280.086,3193.152,95.241,95.524,96.726,0.09
2014-08-01,,,,,,,0.09
2014-09-01,,,,,,,0.09
2014-10-01,18500.031,12421.595,3203.351,96.203,96.795,96.822,0.09
2014-11-01,,,,,,,0.09
2014-12-01,,,,,,,0.12
2015-01-01,18666.621,12516.902,3314.895,96.688,98.538,96.769,0.11
2015-02-01,,,,,,,0.11
2015-03-01,,,,,,,0.11
2015-04-01,18782.243,12603.053,3328.049,96.954,98.73,97.325,0.12
2015-05-01,,,,,,,0.12
2015-06-01,,,,,,,0.13
2015-07-01,18857.418,12691.79,3335.27,97.076,98.958,97.583,0.13
2015-08-01,,,,,,,0.14
2015-09-01,,,,,,,0.14
2015-10-01,18892.206,12743.411,3315.334,97.782,98.761,97.581,0.12
2015-11-01,,,,,,,0.12
2015-12-01,,,,,,,0.24
2016-01-01,19001.69,12839.618,3301.09,98.03,98.854,97.496,0.34
2016-02-01,,,,,,,0.38
2016-03-01,,,,,,,0.36
2016-04-01,19062.709,12903.306,3287.033,98.281,98.418,98.159,0.37
2016-05-01,,,,,,,0.37
2016-06-01,,,,,,,0.38
2016-07-01,19197.938,12993.064,3301.079,98.761,98.422,98.41,0.39
2016-08-01,,,,,,,0.4
2016-09-01,,,,,,,0.4
2016-10-01,19304.352,13060.061,3391.749,98.849,98.87,98.886,0.4
2016-11-01,,,,,,,0.41
2016-12-01,,,,,,,0.54
2017-01-01,19398.343,13160.475,3382.703,99.195,99.151,99.39,0.65
2017-02-01,,,,,,,0.66
2017-03-01,,,,,,,0.79
2017-04-01,19506.949,13225.743,3435.929,99.823,99.65,99.65,0.9
2017-05-01,,,,,,,0.91
2017-06-01,,,,,,,1.04
2017-07-01,19660.766,13315.382,3493.166,100.05,100.452,100.162,1.15
2017-08-01,,,,,,,1.16
2017-09-01,,,,,,,1.15
2017-10-01,19882.352,13460.902,3558.859,100.678,101.0,100.778,1.15
2017-11-01,,,,,,,1.16
2017-12-01,,,,,,,1.3
2018-01-01,20044.077,13558.373,3612.936,101.264,100.754,101.419,1.41
2018-02-01,,,,,,,1.42
2018-03-01,,,,,,,1.51
2018-04-01,20150.476,13630.967,3612.389,101.761,100.74,102.136,1.69
2018-05-01,,,,,,,1.7
2018-06-01,,,,,,,1.82
2018-07-01,20276.154,13693.79,3722.248,102.206,101.285,102.577,1.91
2018-08-01,,,,,,,1.91
2018-09-01,,,,,,,1.95
2018-10-01,20304.874,13736.572,3724.752,102.53,101.218,103.019,2.19
2018-11-01,,,,,,,2.2
2018-12-01,,,,,,,2.27
2019-01-01,20431.641,13758.331,3755.53,102.561,103.353,103.328,2.4
2019-02-01,,,,,,,2.4
2019-03-01,,,,,,,2.41
2019-04-01,20602.275,13875.705,3790.049,102.883,102.601,103.862,2.42
2019-05-01,,,,,,,2.39
2019-06-01,,,,,,,2.38
2019-07-01,20843.322,14033.222,3819.94,103.176,102.298,104.192,2.4
2019-08-01,,,,,,,2.13
2019-09-01,,,,,,,2.04
2019-10-01,20985.448,14125.274,3770.431,102.935,103.338,104.516,1.83
2019-11-01,,,,,,,1.55
2019-12-01,,,,,,,1.55
